番号,地点名,1953,rm,1954,rm,1955,rm,1956,rm,1957,rm,1958,rm,1959,rm,1960,rm,1961,rm,1962,rm,1963,rm,1964,rm,1965,rm,1966,rm,1967,rm,1968,rm,1969,rm,1970,rm,1971,rm,1972,rm,1973,rm,1974,rm,1975,rm,1976,rm,1977,rm,1978,rm,1979,rm,1980,rm,1981,rm,1982,rm,1983,rm,1984,rm,1985,rm,1986,rm,1987,rm,1988,rm,1989,rm,1990,rm,1991,rm,1992,rm,1993,rm,1994,rm,1995,rm,1996,rm,1997,rm,1998,rm,1999,rm,2000,rm,2001,rm,2002,rm,2003,rm,2004,rm,2005,rm,2006,rm,2007,rm,2008,rm,2009,rm,2010,rm,2011,rm,2012,rm,2013,rm,2014,rm,2015,rm,2016,rm,2017,rm,2018,rm,2019,rm,2020,rm,2021,rm,2022,rm,2023,rm,2024,rm,2025,rm,2026,rm,2027,rm,2028,rm,2029,rm,2030,rm,2031,rm,2032,rm,平年値,rm,最早値,rm,最早年,最晩値,rm,最晩年
401,稚内　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,留萌　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,旭川　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,網走　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,札幌　　,529,8,603,8,606,8,523,8,524,8,0,0,0,0,0,0,0,0,0,0,0,0,520,8,513,8,503,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,8,1966,606,8,1955
413,岩見沢　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,帯広　　,622,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,8,1953,622,8,1953
418,釧路　　,0,0,0,0,0,0,0,0,703,8,623,8,620,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,8,1959,703,8,1957
420,根室　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,室蘭　　,0,0,524,8,610,8,0,0,0,0,0,0,0,0,0,0,612,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,8,1954,612,8,1961
426,浦河　　,604,8,606,8,607,8,0,0,616,8,611,8,525,8,608,8,0,0,0,0,0,0,606,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,8,615,8,612,8,603,8,611,8,602,8,613,9,605,9,612,9,606,9,602,9,530,9,604,9,606,9,530,9,603,9,527,9,527,9,608,9,531,9,529,9,530,9,521,9,531,9,601,9,603,9,605,9,527,9,524,9,530,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,8,2002,616,8,1957
428,江差　　,613,8,607,8,609,8,528,8,602,8,603,8,527,8,604,8,601,8,603,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,8,1959,613,8,1953
430,函館　　,528,8,615,8,614,8,512,8,527,8,527,8,524,8,602,8,528,8,528,8,529,8,529,8,604,8,602,8,525,8,601,8,602,8,527,8,607,8,528,8,528,8,531,8,528,8,528,8,601,8,602,8,605,8,601,8,607,8,531,8,519,8,607,8,527,8,602,8,529,8,529,8,525,8,520,8,519,8,525,8,527,8,524,8,522,8,603,8,528,8,515,8,523,8,527,8,526,8,513,8,519,8,524,8,530,8,529,8,525,8,517,8,521,8,603,8,601,8,526,8,602,8,520,8,514,8,519,8,521,8,522,8,519,8,523,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,8,512,8,1956,615,8,1954
433,倶知安　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,8,607,8,608,8,607,8,603,8,602,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,8,1981,608,8,1978
435,紋別　　,0,0,0,0,0,0,0,0,623,8,621,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,8,1958,623,8,1957
440,広尾　　,0,0,0,0,0,0,0,0,0,0,606,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,8,1958,606,8,1958
520,新庄　　,0,0,0,0,0,0,0,0,0,0,0,0,510,8,521,8,513,8,518,8,516,8,509,8,528,8,518,8,516,8,518,8,511,8,516,8,522,8,508,8,0,0,0,0,516,8,519,8,522,8,515,8,522,8,525,8,523,8,517,8,506,8,528,8,516,8,521,9,514,8,520,8,516,8,511,8,513,8,519,8,523,8,517,8,514,8,523,8,513,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,8,1983,528,8,1984
575,青森　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,8,525,8,529,8,524,8,525,8,527,8,602,8,528,8,601,8,518,8,0,0,520,8,518,8,516,8,0,0,517,8,522,8,526,8,522,8,526,8,524,8,524,8,524,8,510,8,603,8,521,8,520,9,517,9,519,9,515,9,509,9,514,9,518,9,524,9,516,9,514,9,530,9,514,9,515,9,519,9,523,9,519,9,507,9,514,9,517,9,526,9,524,9,520,9,507,9,514,9,525,9,522,9,526,9,531,9,515,9,509,9,518,9,518,9,515,9,516,9,512,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,8,507,8,2008,603,8,1984
581,八戸　　,529,8,523,8,516,8,521,8,523,8,526,8,518,8,527,8,515,8,520,8,517,8,518,8,524,8,523,8,520,8,530,8,514,8,517,8,524,8,517,8,516,8,520,8,518,8,520,8,519,8,519,8,602,8,525,8,527,8,526,8,522,8,612,8,523,8,523,8,517,8,520,8,0,0,0,0,0,0,0,0,519,9,513,9,512,8,527,8,513,8,0,0,518,8,524,8,515,8,504,8,514,8,514,8,525,8,523,8,520,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,8,2002,612,8,1984
582,秋田　　,514,8,0,0,515,8,514,8,512,8,516,8,504,8,514,8,506,8,0,0,512,8,514,8,523,8,510,8,510,8,507,8,510,8,511,8,518,8,512,8,512,8,519,8,509,8,517,8,519,8,522,8,522,8,522,8,519,8,511,8,510,8,527,8,515,8,516,8,512,8,520,8,513,8,511,9,509,8,516,8,521,8,516,8,511,8,524,8,514,8,0,0,507,8,516,8,507,8,506,8,509,8,512,8,517,8,512,8,514,8,503,8,509,8,522,8,518,8,511,8,518,8,510,8,504,8,509,8,517,8,505,8,515,8,517,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,8,503,8,2008,527,8,1984
584,盛岡　　,523,8,509,8,517,8,520,8,524,8,522,8,0,0,520,8,510,8,0,0,0,0,512,8,518,8,517,8,510,8,512,8,513,8,0,0,518,8,510,8,514,8,517,8,510,8,517,8,520,8,516,8,523,8,520,8,522,8,511,8,506,8,525,8,512,8,520,8,511,8,515,8,515,8,518,8,514,9,520,8,523,8,513,8,514,8,524,8,511,8,430,9,510,8,518,9,510,9,509,8,512,8,513,8,524,8,520,8,521,8,506,8,508,8,522,8,521,8,516,8,521,8,513,8,506,8,515,8,512,8,509,8,512,8,515,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,8,430,8,1998,525,8,1984
585,宮古　　,520,8,514,8,515,8,520,8,516,8,0,0,506,8,517,8,504,8,517,8,0,0,0,0,523,8,514,8,515,8,0,0,0,0,0,0,518,8,516,8,512,8,516,8,516,8,517,8,515,8,515,8,521,8,518,8,520,8,512,8,502,8,602,8,511,8,513,9,511,9,516,9,511,9,510,9,510,9,517,9,519,8,0,0,517,8,527,8,512,8,507,8,515,8,523,8,515,8,505,8,514,8,512,8,520,8,520,8,518,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,8,1983,602,8,1984
587,酒田　　,505,8,505,8,505,8,504,8,506,8,506,8,428,8,511,8,501,8,510,8,510,8,510,8,525,8,517,8,519,8,516,8,514,8,517,8,514,8,510,8,512,8,516,8,512,8,518,8,516,8,511,8,510,8,514,8,513,8,506,8,501,8,520,8,513,8,512,9,506,9,512,9,506,9,0,0,508,9,510,9,514,9,509,9,510,8,521,8,0,0,430,8,508,8,512,8,506,8,501,8,508,8,506,8,515,8,513,8,514,8,503,8,507,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,8,1959,525,8,1965
588,山形　　,510,8,426,8,511,8,0,0,0,0,0,0,504,8,511,8,505,8,510,8,509,8,506,8,521,8,508,8,512,8,0,0,505,8,513,8,0,0,507,8,505,8,516,8,509,8,507,8,516,8,512,8,505,8,512,8,521,8,0,0,0,0,522,8,508,8,512,9,505,9,514,9,508,8,510,8,509,8,515,8,519,8,507,8,0,0,520,8,512,8,502,8,510,8,519,8,506,8,502,8,507,8,506,8,0,0,0,0,509,9,502,9,501,9,509,9,510,9,510,9,509,9,508,9,427,9,427,9,504,9,428,9,504,9,505,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,8,426,8,1954,522,8,1984
590,仙台　　,507,8,502,8,508,8,508,8,518,8,0,0,507,8,507,8,503,8,511,8,509,8,429,8,518,8,503,8,430,8,501,8,506,8,508,8,509,8,503,8,502,8,512,8,502,8,508,8,510,8,515,8,507,8,506,8,507,8,510,8,504,8,522,8,510,8,515,9,507,8,504,8,509,8,508,8,505,8,510,8,512,8,508,8,506,8,519,8,504,8,502,8,506,8,517,8,507,8,427,8,504,8,503,8,508,8,512,8,509,8,507,8,503,8,518,8,511,8,512,8,511,8,506,8,429,8,503,8,504,8,501,8,502,8,512,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,8,427,8,2002,522,8,1984
595,福島　　,505,8,429,8,502,8,502,8,503,8,429,8,424,8,506,8,427,8,508,8,501,8,423,8,509,8,427,8,429,8,503,8,429,8,508,8,510,8,0,0,0,0,510,8,504,8,510,8,508,8,507,8,506,8,511,8,505,8,505,8,426,8,511,8,509,8,508,8,501,9,506,9,501,8,505,8,502,8,511,8,509,8,504,8,503,8,511,8,502,8,423,8,504,8,510,8,430,8,422,8,501,8,430,8,505,8,508,8,507,8,502,8,501,8,504,8,507,8,507,8,508,8,502,8,429,8,426,8,503,8,426,8,503,8,503,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,8,422,8,2002,511,8,1996
597,白河　　,516,8,505,8,510,8,517,8,511,8,511,8,505,8,514,8,506,8,510,8,508,8,509,8,517,8,509,8,507,8,512,8,508,8,515,8,513,8,510,8,507,8,512,8,507,8,512,8,507,8,514,8,509,8,516,8,509,8,507,8,507,8,514,8,505,8,509,8,506,8,510,8,508,8,508,8,508,8,515,8,513,8,514,9,0,0,521,8,506,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,8,1985,521,8,1996
598,小名浜　,505,8,427,8,421,8,426,8,428,8,425,8,422,8,502,8,430,8,506,8,510,8,501,8,510,8,504,8,503,8,501,8,502,8,510,8,508,8,501,8,428,8,507,8,509,8,506,8,504,8,503,8,423,8,504,8,428,8,503,8,502,8,510,8,503,8,507,9,427,9,502,9,426,9,430,9,430,9,0,0,516,8,503,8,503,8,508,8,426,8,506,8,428,8,509,8,429,8,422,8,504,8,503,8,505,8,506,8,502,8,503,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,8,1955,516,8,1993
600,輪島　　,506,8,501,8,502,8,512,8,514,8,508,8,420,8,427,8,417,8,423,8,510,8,510,8,515,8,509,8,503,8,507,8,504,8,505,8,503,8,501,8,429,8,430,8,429,8,430,8,428,8,503,8,506,8,506,8,506,8,504,8,428,8,515,8,504,8,509,8,505,8,513,8,429,8,505,8,504,8,506,8,509,8,505,8,503,8,516,9,508,8,429,8,502,8,507,8,501,8,422,8,502,8,425,8,430,8,506,8,501,8,429,8,429,8,506,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,8,1961,516,8,1996
602,相川　　,513,8,503,8,507,8,509,8,511,8,504,8,501,8,429,8,510,8,514,8,505,8,509,8,515,8,508,8,506,8,503,8,505,8,514,8,512,8,506,8,506,8,509,8,507,8,512,8,503,8,509,8,513,8,511,8,514,8,507,8,503,8,527,8,0,0,514,9,508,8,515,9,511,8,507,8,504,8,508,8,516,8,507,8,510,9,513,9,506,9,501,9,511,9,512,9,511,9,426,9,509,9,505,9,510,9,508,9,512,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,8,2002,527,8,1984
604,新潟　　,513,8,514,8,509,8,514,8,511,8,515,8,504,8,510,8,505,8,510,8,509,8,0,0,0,0,511,8,503,8,505,8,504,8,507,8,510,8,429,8,425,8,509,8,502,8,508,8,506,8,506,8,511,8,512,8,504,8,501,8,502,8,508,8,501,8,506,8,502,8,511,8,502,8,502,8,505,8,505,8,509,8,503,8,430,8,504,8,501,8,426,8,503,8,507,8,507,8,424,8,503,8,504,8,507,8,507,8,508,8,430,8,503,8,511,8,512,8,504,8,509,9,501,9,501,9,504,9,502,9,504,9,506,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,8,424,8,2002,515,8,1958
605,金沢　　,0,0,0,0,0,0,507,8,504,8,424,8,423,8,424,8,425,8,501,8,425,8,423,8,509,8,430,8,427,8,502,8,426,8,506,8,501,8,423,8,424,8,427,8,501,8,429,8,427,8,501,8,429,8,503,8,428,8,430,8,425,8,508,8,428,8,502,8,502,8,503,8,424,8,426,8,430,8,430,9,506,8,425,8,428,8,503,8,430,8,423,8,423,8,505,8,426,8,418,8,430,8,422,8,501,8,507,8,502,8,428,8,423,8,503,8,505,8,430,8,430,8,425,8,428,8,419,8,428,8,420,8,429,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,8,418,8,2002,509,8,1965
607,富山　　,504,8,0,0,0,0,0,0,0,0,0,0,424,8,427,8,501,8,506,8,506,8,502,8,512,8,429,8,0,0,0,0,0,0,0,0,502,8,428,8,426,8,430,8,501,8,505,8,501,8,501,8,427,8,430,8,428,8,423,8,427,8,506,8,428,8,501,8,429,8,430,8,420,8,420,8,425,8,427,8,502,8,426,8,426,8,430,8,428,8,421,8,423,8,502,8,423,8,416,8,424,8,419,8,426,8,501,8,427,8,422,8,420,8,423,8,426,8,427,8,422,8,422,8,426,8,415,8,425,8,416,8,422,8,420,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,8,415,8,2016,512,8,1965
610,長野　　,511,8,502,8,504,8,503,8,507,8,506,8,426,8,505,8,503,8,504,8,430,8,429,8,514,8,502,8,502,8,505,8,505,8,508,8,509,8,501,8,430,8,508,8,502,8,507,8,502,8,507,8,502,8,505,8,508,8,504,8,429,8,512,8,501,8,507,9,503,9,504,9,426,9,429,9,428,9,504,8,507,9,429,8,503,9,503,8,429,8,422,8,426,8,504,8,428,8,416,8,428,8,422,8,429,8,502,8,427,8,425,8,420,8,503,8,505,8,501,8,428,8,501,8,428,8,423,8,501,8,419,8,428,8,430,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,8,416,8,2002,514,8,1965
