9,あじさいの開花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,地点名,1953,rm,1954,rm,1955,rm,1956,rm,1957,rm,1958,rm,1959,rm,1960,rm,1961,rm,1962,rm,1963,rm,1964,rm,1965,rm,1966,rm,1967,rm,1968,rm,1969,rm,1970,rm,1971,rm,1972,rm,1973,rm,1974,rm,1975,rm,1976,rm,1977,rm,1978,rm,1979,rm,1980,rm,1981,rm,1982,rm,1983,rm,1984,rm,1985,rm,1986,rm,1987,rm,1988,rm,1989,rm,1990,rm,1991,rm,1992,rm,1993,rm,1994,rm,1995,rm,1996,rm,1997,rm,1998,rm,1999,rm,2000,rm,2001,rm,2002,rm,2003,rm,2004,rm,2005,rm,2006,rm,2007,rm,2008,rm,2009,rm,2010,rm,2011,rm,2012,rm,2013,rm,2014,rm,2015,rm,2016,rm,2017,rm,2018,rm,2019,rm,2020,rm,2021,rm,2022,rm,2023,rm,2024,rm,2025,rm,2026,rm,2027,rm,2028,rm,2029,rm,2030,rm,2031,rm,2032,rm,平年値,rm,最早値,rm,最早年,最晩値,rm,最晩年
401,稚内　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,8,0,0,828,8,806,8,809,8,814,8,831,8,820,8,814,8,804,8,813,8,810,8,824,8,806,8,810,8,807,8,814,8,808,8,820,8,825,8,809,8,811,8,807,8,802,8,807,8,804,8,812,8,807,8,801,8,814,8,726,8,801,8,729,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,8,726,8,2021,831,8,1997
406,留萌　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,8,721,8,728,8,731,8,726,8,723,8,725,8,716,8,719,8,726,8,726,8,720,8,721,8,728,8,722,8,722,8,725,8,721,8,721,8,716,8,728,8,720,8,719,8,724,8,721,8,725,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,8,2002,731,8,1986
407,旭川　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,8,804,8,726,8,717,8,721,8,713,8,718,8,724,8,801,8,720,8,720,8,723,8,723,8,717,8,720,8,723,8,725,8,716,8,721,8,721,8,721,9,720,9,721,9,715,9,723,9,719,9,723,9,725,9,721,9,0,0,721,9,721,9,718,9,720,8,717,8,720,8,713,8,715,8,706,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,8,706,8,2023,804,8,1986
409,網走　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,8,802,8,812,8,821,8,825,8,0,0,818,8,0,0,804,8,802,8,823,8,0,0,801,8,0,0,819,8,805,8,731,8,803,8,811,8,823,8,0,0,728,8,804,8,803,8,814,8,805,8,815,8,802,8,807,8,802,8,803,8,728,8,801,8,802,8,804,8,808,8,803,8,730,8,728,8,725,8,725,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,8,725,8,2023,825,8,1987
412,札幌　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,8,727,8,724,8,721,8,723,8,0,0,716,8,718,8,722,8,722,8,717,8,717,8,723,8,719,8,713,8,716,8,717,8,715,8,712,8,714,8,714,8,720,8,720,8,715,8,712,8,714,8,716,8,720,8,714,8,718,8,711,8,714,8,713,8,712,8,716,8,710,8,713,8,713,8,708,8,705,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,8,705,8,2023,727,8,1985
413,岩見沢　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,8,721,8,724,8,728,9,723,9,730,9,727,8,719,8,724,8,727,8,803,8,721,8,725,8,727,8,725,8,723,8,724,8,719,8,723,8,720,8,801,8,722,8,725,8,727,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,8,2000,803,8,1993
417,帯広　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,8,0,0,0,0,723,8,725,8,730,8,816,8,0,0,0,0,813,8,0,0,0,0,0,0,725,8,807,8,728,8,731,8,722,8,801,8,804,8,0,0,0,0,811,8,809,8,801,8,811,8,801,8,0,0,724,8,727,8,726,8,725,8,0,0,802,8,729,8,720,8,714,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,8,714,8,2023,816,8,1993
418,釧路　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,根室　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,8,2000,810,8,2000
423,室蘭　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,8,0,0,802,8,813,8,812,8,815,8,811,8,726,8,725,8,811,8,819,8,812,8,803,8,818,8,818,8,804,8,805,8,803,8,812,8,810,8,827,8,729,8,807,8,806,8,803,8,731,8,806,8,731,8,802,8,803,8,808,8,730,8,727,8,803,8,804,8,809,8,0,0,0,0,728,8,814,8,724,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,8,724,8,2023,827,8,2003
426,浦河　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,8,805,8,814,9,801,9,808,9,801,9,724,9,725,9,805,9,730,9,727,9,731,9,814,9,804,9,810,9,728,9,727,9,801,9,729,9,818,9,730,9,806,9,808,9,731,9,802,9,804,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,8,1990,818,8,2003
428,江差　　,0,0,0,0,629,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,8,1955,629,8,1955
430,函館　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,8,727,8,725,8,808,8,802,8,806,8,723,8,713,8,712,8,0,0,0,0,0,0,724,8,727,8,718,8,711,8,722,8,716,8,715,8,716,8,0,0,716,8,731,8,725,8,716,8,714,8,714,8,713,8,0,0,717,8,722,8,718,8,713,8,712,8,714,8,718,8,715,8,715,8,710,8,711,8,706,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,8,706,8,2023,808,8,1986
433,倶知安　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,8,0,0,0,0,803,8,728,8,730,8,730,8,723,8,720,8,726,9,802,9,724,9,728,8,731,8,725,8,723,8,730,8,723,8,726,8,722,8,806,8,724,8,729,8,731,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,8,1991,806,8,2003
435,紋別　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,9,807,9,815,9,804,9,811,9,807,9,805,9,802,8,811,8,819,8,731,8,803,8,815,8,818,8,822,8,817,8,803,8,801,8,801,8,806,8,724,8,729,8,728,8,730,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,8,2004,822,8,1998
440,広尾　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,9,821,9,0,0,812,9,801,9,729,9,727,9,728,9,0,0,0,0,817,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,8,1992,821,8,1987
520,新庄　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,8,717,8,709,8,716,9,717,9,723,9,717,9,709,8,709,8,713,8,714,8,712,8,708,8,715,8,714,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,8,1983,723,8,1988
575,青森　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,8,728,8,0,0,0,0,0,0,0,0,0,0,725,8,719,8,0,0,717,8,716,8,718,8,710,8,719,8,721,8,721,8,718,8,722,8,725,8,718,8,718,8,715,9,719,8,717,9,629,9,709,9,721,9,729,9,719,9,720,9,730,9,722,9,728,9,0,0,717,8,716,8,714,8,714,8,713,8,721,9,714,9,707,9,706,9,711,9,717,9,715,9,717,9,716,9,705,9,706,9,704,9,0,0,704,9,703,9,706,9,702,9,701,9,629,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,8,629,8,2023,730,8,1996
581,八戸　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,8,724,8,721,8,728,8,714,8,726,8,718,8,703,8,702,8,721,8,802,9,713,9,717,9,730,9,714,9,717,9,715,9,714,9,716,9,712,9,721,9,715,9,722,9,717,9,710,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,8,1991,802,8,1993
582,秋田　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,8,714,8,714,8,716,8,716,8,709,8,719,8,716,8,719,8,715,8,706,9,701,8,706,8,708,8,704,8,703,8,710,8,706,8,628,8,701,8,704,8,629,8,628,8,704,8,702,8,704,8,704,8,701,8,623,8,627,8,702,8,706,8,630,8,630,8,630,8,623,8,625,8,705,8,630,8,624,8,625,8,628,8,624,8,620,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,8,620,8,2023,719,8,1988
584,盛岡　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,8,717,8,710,8,714,8,716,8,713,8,709,8,703,8,626,8,706,8,712,8,705,8,708,8,713,8,706,8,701,9,706,8,705,9,705,8,703,8,708,8,704,8,708,9,708,8,709,8,710,8,709,8,709,8,713,8,709,8,707,8,703,8,629,8,704,8,707,8,703,8,708,8,705,8,702,8,704,8,628,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,8,626,8,1991,717,8,1984
585,宮古　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,8,722,8,713,8,714,8,724,8,718,8,726,8,713,8,720,8,718,8,715,8,709,8,714,8,718,8,708,8,709,8,724,8,714,8,706,8,707,8,710,8,709,8,703,8,715,8,701,8,714,8,718,8,706,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,8,2004,726,8,1986
587,酒田　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,8,709,8,630,8,707,8,702,8,705,9,705,8,628,8,701,8,706,8,709,8,630,8,705,8,710,8,704,8,626,8,629,8,702,8,630,8,630,8,703,8,629,8,708,8,707,8,703,8,0,0,702,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,8,1998,710,8,1996
588,山形　　,710,8,615,8,610,8,620,8,702,8,628,8,623,8,628,8,622,8,627,8,628,8,625,8,706,8,710,8,630,8,627,8,628,8,713,8,706,8,626,8,0,0,0,0,627,8,625,8,627,8,623,8,622,8,629,8,711,8,625,8,707,8,703,8,624,8,706,9,702,9,707,9,706,8,630,8,701,8,709,8,708,8,703,8,706,8,630,8,708,8,628,8,620,8,704,8,702,8,702,8,701,8,629,8,704,8,629,8,704,8,713,8,703,8,705,8,708,8,706,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,8,628,8,626,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,8,610,8,1955,713,8,2008
590,仙台　　,0,0,0,0,0,0,605,8,627,8,0,0,617,8,627,8,622,8,606,8,0,0,0,0,625,8,620,8,618,8,624,8,618,8,617,8,623,8,625,8,628,8,623,8,621,8,702,8,710,8,706,8,630,8,613,8,710,8,706,8,707,8,717,8,710,8,707,8,703,9,702,8,627,8,622,8,701,8,707,8,706,8,704,8,619,8,702,8,630,8,624,8,615,8,702,8,630,8,708,8,707,8,629,8,702,8,703,8,628,8,702,8,701,8,703,8,630,8,705,8,706,8,627,8,622,8,627,8,703,8,701,8,701,8,624,8,621,8,627,8,617,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,8,605,8,1956,717,8,1984
595,福島　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,8,0,0,0,0,623,8,0,0,620,8,0,0,616,8,0,0,619,8,617,8,613,8,623,8,602,8,630,8,711,8,709,8,708,8,628,8,704,8,627,8,618,8,624,8,703,8,702,8,701,9,627,9,704,8,624,8,621,8,627,9,626,9,628,8,617,8,622,8,618,8,627,8,701,8,628,8,627,8,625,8,713,8,630,8,702,8,628,8,623,8,624,8,615,8,621,8,617,8,619,8,618,8,611,8,620,8,612,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,8,602,8,1982,713,8,2010
597,白河　　,702,8,717,8,702,8,722,8,720,8,715,8,705,8,714,8,704,8,711,8,713,8,701,8,715,8,709,8,702,8,710,8,630,8,709,8,709,8,701,8,702,8,711,8,715,8,718,8,702,8,629,8,708,8,712,8,705,8,628,8,712,8,714,8,708,8,716,9,706,9,721,8,714,8,706,8,704,8,713,8,718,8,707,9,718,9,716,8,628,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,8,1997,722,8,1956
598,小名浜　,702,8,626,8,621,8,620,8,622,8,620,8,620,8,621,8,618,8,619,8,624,8,623,8,624,8,622,8,618,8,618,8,610,8,611,8,611,8,604,8,604,8,612,8,611,8,609,8,609,8,608,8,527,8,602,8,626,8,612,8,612,8,701,8,0,0,714,9,702,9,627,8,704,8,620,8,624,8,701,8,0,0,617,9,620,9,622,9,618,8,627,9,630,8,624,9,616,9,621,9,617,9,622,8,0,0,625,9,630,9,704,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,8,1979,714,8,1986
600,輪島　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,8,625,8,611,8,615,8,613,8,614,8,617,8,619,8,615,8,615,8,619,8,619,8,620,8,617,8,626,8,619,8,619,8,620,8,613,8,618,8,628,8,627,8,625,8,624,8,701,8,630,8,625,8,628,8,701,8,705,8,629,8,703,8,706,8,630,8,623,8,625,8,628,8,624,8,619,8,627,8,622,8,625,8,627,8,628,8,626,8,628,8,702,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,8,1966,706,8,1996
602,相川　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,8,625,8,704,8,703,8,705,8,627,8,708,8,626,8,622,8,628,8,701,8,705,8,630,8,628,8,628,9,622,8,622,9,620,9,625,9,622,9,627,9,624,8,608,8,703,8,621,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,8,2004,708,8,1988
604,新潟　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,8,614,8,624,8,618,8,615,8,623,8,618,8,0,0,623,8,614,8,618,8,620,8,618,8,615,8,619,8,620,8,615,8,618,8,701,8,621,8,629,8,619,8,704,8,630,8,620,8,625,8,701,8,701,8,627,8,628,8,630,8,620,8,616,8,626,8,626,8,619,8,618,8,620,8,622,8,623,8,629,8,623,8,619,8,622,8,629,8,625,8,624,8,623,9,624,9,618,9,617,9,623,9,622,9,620,9,621,9,622,9,621,9,615,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,8,614,8,1975,704,8,1988
605,金沢　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,8,618,8,619,8,620,8,617,8,622,8,623,8,627,8,615,8,617,8,625,8,620,8,625,8,619,8,627,8,618,8,618,8,617,8,618,8,618,8,613,8,619,8,621,8,613,8,605,8,614,8,619,8,608,8,607,8,613,8,614,8,615,8,619,8,614,8,613,8,617,8,621,8,619,8,614,8,616,8,615,8,613,8,610,8,616,8,613,8,617,8,612,8,611,8,614,8,609,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,8,605,8,1998,627,8,1988
